CELL_TYPE,ARC_TYPE,DELAY_DIFF(ps),DIFF_PERC(%),DELAY(ps),IDEAL_DELAY(ps),INPUT_SLEW(ps),LOAD_CAP(fF),WAVEFORM_TYPE
and_high_stack,input_fall_output_fall,13.5,11.5,97,85.5,244.7,15.2,single_point_average_vdd
and_high_stack,input_fall_output_fall,3.6,2.2,63.2,61,9.4,15.2,wfm_max_energy_vss
and_high_stack,input_fall_output_fall,9.8,2.9, ,29.7,47.9,0.5,wfm_min_compression
and_high_stack,input_fall_output_fall,-6.4,-3.4,49.4,52.8,244.7,3.8,single_point_average_vss
and_high_stack,input_fall_output_fall,15.6,13.3,98.8,85.5,244.7,15.2,single_point_vdd_drop_max
and_high_stack,input_fall_output_fall,3.3,2.3,72.9,70.6,47.9,15.2,wfm_max_energy_vss
and_high_stack,input_fall_output_fall,3.5,2.5,73.1,70.6,47.9,15.2,wfm_narrow_vdd
and_high_stack,input_fall_output_fall,3.4,2.4,73,70.6,47.9,15.2,wfm_wide_vdd
and_high_stack,input_fall_output_fall,-0.3,-0.1,29.6,29.7,47.9,0.5,single_point_vss_bounce_max
and_high_stack,input_fall_output_fall,1.6,0.6,39,38.4,47.9,3.8,single_point_vss_bounce_min
and_high_stack,input_fall_output_fall,6.2,3.8,64.8,61,9.4,15.2,single_point_average_vss
and_high_stack,input_fall_output_fall,7.4,2.2,31.9,29.7,47.9,0.5,wfm_max_energy_vdd
and_high_stack,input_fall_output_fall,2,0.6,30.3,29.7,47.9,0.5,wfm_max_energy_vss
and_high_stack,input_fall_output_fall,7.1,5,75.6,70.6,47.9,15.2,wfm_min_compression
and_high_stack,input_fall_output_fall,-10,-4.3,38.6,42.9,244.7,0.5,single_point_vss_bounce_max
and_high_stack,input_fall_output_fall,3.1,0.9,29.8,28.9,9.4,3.8,wfm_max_energy_vss
and_high_stack,input_fall_output_fall,-0.9,-0.8,84.7,85.5,244.7,15.2,single_point_vss_bounce_max
and_high_stack,input_fall_output_fall,5.2,3.2,64.2,61,9.4,15.2,single_point_vss_bounce_min
and_high_stack,input_fall_output_fall,4.1,2.9,73.5,70.6,47.9,15.2,single_point_vss_bounce_min
and_high_stack,input_fall_output_fall,2.8,1.7,62.7,61,9.4,15.2,single_point_average_vdd
and_high_stack,input_fall_output_fall,1.3,0.8,61.8,61,9.4,15.2,wfm_wide_vdd
and_high_stack,input_fall_output_fall,3.8,1.1,30,28.9,9.4,3.8,single_point_vss_bounce_max
and_high_stack,input_fall_output_fall,2,0.4,20.7,20.3,9.4,0.5,single_point_average_vss
and_high_stack,input_fall_output_fall,6.7,4.1,65.1,61,9.4,15.2,single_point_vss_bounce_max
and_high_stack,input_fall_output_fall,7.9,1.6,21.9,20.3,9.4,0.5,wfm_min_compression
and_high_stack,input_fall_output_fall,3.1,0.9,29.8,28.9,9.4,3.8,wfm_narrow_vss
and_high_stack,input_fall_output_fall,1.8,1.1,62.1,61,9.4,15.2,single_point_vdd_drop_min
and_high_stack,input_fall_output_fall,5.2,2,40.4,38.4,47.9,3.8,single_point_vdd_drop_min
and_high_stack,input_fall_output_fall,1.1,0.6,53.4,52.8,244.7,3.8,wfm_max_energy_vss
and_high_stack,input_fall_output_fall,-0.9,-0.8,84.7,85.5,244.7,15.2,single_point_average_vss
and_high_stack,input_fall_output_fall,4.9,1,21.3,20.3,9.4,0.5,single_point_average_vdd
and_high_stack,input_fall_output_fall,11.1,3.3,33,29.7,47.9,0.5,single_point_vdd_drop_max
and_high_stack,input_fall_output_fall,8,2.3,31.2,28.9,9.4,3.8,wfm_min_compression
and_high_stack,input_fall_output_fall,9.8,2.9,32.6,29.7,47.9,0.5,single_point_average_vdd
and_high_stack,input_fall_output_fall,-5.7,-3,49.8,52.8,244.7,3.8,single_point_vss_bounce_min
and_high_stack,input_fall_output_fall,6.3,2.4,40.8,38.4,47.9,3.8,wfm_max_energy_vdd
and_high_stack,input_fall_output_fall,8.8,7.5,93,85.5,244.7,15.2,single_point_vdd_drop_min
and_high_stack,input_fall_output_fall,-6.8,-3.6,49.2,52.8,244.7,3.8,single_point_vss_bounce_max
and_high_stack,input_fall_output_fall,2,0.6,30.3,29.7,47.9,0.5,wfm_narrow_vss
and_high_stack,input_fall_output_fall,7,2.7,41.1,38.4,47.9,3.8,wfm_narrow_vdd
and_high_stack,input_fall_output_fall,-8.2,-3.5,39.4,42.9,244.7,0.5,single_point_vss_bounce_min
and_high_stack,input_fall_output_fall,5.9,1.2,21.5,20.3,9.4,0.5,single_point_vdd_drop_max
and_high_stack,input_fall_output_fall,4.5,1.3,30.2,28.9,9.4,3.8,single_point_vdd_drop_max
and_high_stack,input_fall_output_fall,3.8,1.1,30,28.9,9.4,3.8,single_point_average_vdd
and_high_stack,input_fall_output_fall,7.6,6.5,92,85.5,244.7,15.2,wfm_min_compression
and_high_stack,input_fall_output_fall,2.5,0.5,20.8,20.3,9.4,0.5,wfm_max_energy_vss
and_high_stack,input_fall_output_fall,2.4,0.7,29.6,28.9,9.4,3.8,single_point_vdd_drop_min
and_high_stack,input_fall_output_fall,8.8,2.6,32.3,29.7,47.9,0.5,wfm_narrow_vdd
and_high_stack,input_fall_output_fall,3.5,2.5,73.1,70.6,47.9,15.2,wfm_wide_vss
and_high_stack,input_fall_output_fall,2,0.4,20.7,20.3,9.4,0.5,single_point_vss_bounce_min
and_high_stack,input_fall_output_fall,2.5,0.5,20.8,20.3,9.4,0.5,wfm_wide_vss
and_high_stack,input_fall_output_fall,2.9,1.1,39.5,38.4,47.9,3.8,wfm_narrow_vss
and_high_stack,input_fall_output_fall,8.1,2.4,32.1,29.7,47.9,0.5,wfm_wide_vdd
and_high_stack,input_fall_output_fall,8.1,3.1,41.5,38.4,47.9,3.8,single_point_average_vdd
and_high_stack,input_fall_output_fall,5.1,3.6,74.2,70.6,47.9,15.2,single_point_vss_bounce_max
and_high_stack,input_fall_output_fall,3.3,2.3,72.9,70.6,47.9,15.2,wfm_narrow_vss
and_high_stack,input_fall_output_fall,4.4,0.9,21.2,20.3,9.4,0.5,wfm_max_energy_vdd
and_high_stack,input_fall_output_fall,0.7,0.3,43.2,42.9,244.7,0.5,wfm_max_energy_vss
and_high_stack,input_fall_output_fall,16.6,7.1,50,42.9,244.7,0.5,wfm_narrow_vdd
and_high_stack,input_fall_output_fall,6.1,4.3,74.9,70.6,47.9,15.2,single_point_vdd_drop_max
and_high_stack,input_fall_output_fall,16.3,7,49.9,42.9,244.7,0.5,single_point_vdd_drop_min
and_high_stack,input_fall_output_fall,0.8,0.4,53.2,52.8,244.7,3.8,wfm_wide_vss
and_high_stack,input_fall_output_fall,16.3,7,49.9,42.9,244.7,0.5,wfm_wide_vdd
and_high_stack,input_fall_output_fall,0.9,0.4,43.3,42.9,244.7,0.5,wfm_narrow_vss
and_high_stack,input_fall_output_fall,1.6,0.6,39,38.4,47.9,3.8,single_point_average_vss
and_high_stack,input_fall_output_fall,2.2,1.9,87.4,85.5,244.7,15.2,wfm_narrow_vss
and_high_stack,input_fall_output_fall,24.9,10.7,53.6,42.9,244.7,0.5,single_point_average_vdd
and_high_stack,input_fall_output_fall,11.2,5.9,58.7,52.8,244.7,3.8,wfm_max_energy_vdd
and_high_stack,input_fall_output_fall,1,0.6,61.6,61,9.4,15.2,wfm_max_energy_vdd
and_high_stack,input_fall_output_fall,2.1,1.8,87.3,85.5,244.7,15.2,wfm_max_energy_vss
and_high_stack,input_fall_output_fall,-0.3,-0.1,29.6,29.7,47.9,0.5,single_point_average_vss
and_high_stack,input_fall_output_fall,6.8,5.8,91.3,85.5,244.7,15.2,wfm_max_energy_vdd
and_high_stack,input_fall_output_fall,13.6,7.2,60,52.8,244.7,3.8,single_point_vdd_drop_min
and_high_stack,input_fall_output_fall,5.7,3.5,64.5,61,9.4,15.2,wfm_min_compression
and_high_stack,input_fall_output_fall,9.6,3.7,42.1,38.4,47.9,3.8,wfm_min_compression
and_high_stack,input_fall_output_fall,4.9,1,21.3,20.3,9.4,0.5,wfm_narrow_vdd
and_high_stack,input_fall_output_fall,5.2,3.7,74.3,70.6,47.9,15.2,single_point_average_vdd
and_high_stack,input_fall_output_fall,7.8,6.7,92.2,85.5,244.7,15.2,wfm_wide_vdd
and_high_stack,input_fall_output_fall,3.9,2.4,63.4,61,9.4,15.2,wfm_wide_vss
and_high_stack,input_fall_output_fall,2.2,1.9,87.4,85.5,244.7,15.2,wfm_wide_vss
and_high_stack,input_fall_output_fall,1.3,0.8,61.8,61,9.4,15.2,wfm_narrow_vdd
and_high_stack,input_fall_output_fall,2.9,1.1,39.5,38.4,47.9,3.8,wfm_max_energy_vss
and_high_stack,input_fall_output_fall,3.5,1,29.9,28.9,9.4,3.8,wfm_wide_vdd
and_high_stack,input_fall_output_fall,6.4,1.9,31.6,29.7,47.9,0.5,single_point_vdd_drop_min
and_high_stack,input_fall_output_fall,6.5,2.5,40.9,38.4,47.9,3.8,wfm_wide_vdd
and_high_stack,input_fall_output_fall,3.3,2,63,61,9.4,15.2,single_point_vdd_drop_max
and_high_stack,input_fall_output_fall,9.1,3.5,41.9,38.4,47.9,3.8,single_point_vdd_drop_max
and_high_stack,input_fall_output_fall,2.9,1.1,39.5,38.4,47.9,3.8,wfm_wide_vss
and_high_stack,input_fall_output_fall,2.5,0.5,20.8,20.3,9.4,0.5,wfm_narrow_vss
and_high_stack,input_fall_output_fall,11.7,5,47.9,42.9,244.7,0.5,wfm_min_compression
and_high_stack,input_fall_output_fall,13.1,6.9,59.7,52.8,244.7,3.8,wfm_wide_vdd
and_high_stack,input_fall_output_fall,3.6,2.2,63.2,61,9.4,15.2,wfm_narrow_vss
and_high_stack,input_fall_output_fall,10.2,5.4,58.2,52.8,244.7,3.8,wfm_min_compression
and_high_stack,input_fall_output_fall,3.4,0.7,21,20.3,9.4,0.5,single_point_vdd_drop_min
and_high_stack,input_fall_output_fall,7.7,6.6,92.1,85.5,244.7,15.2,wfm_narrow_vdd
and_high_stack,input_fall_output_fall,3.4,2.4,73,70.6,47.9,15.2,single_point_vdd_drop_min
and_high_stack,input_fall_output_fall,3.5,1,29.9,28.9,9.4,3.8,single_point_average_vss
and_high_stack,input_fall_output_fall,23.9,12.6,65.4,52.8,244.7,3.8,single_point_vdd_drop_max
and_high_stack,input_fall_output_fall,1.8,0.7,39.1,38.4,47.9,3.8,single_point_vss_bounce_max
and_high_stack,input_fall_output_fall,3.8,1.1,30,28.9,9.4,3.8,wfm_narrow_vdd
and_high_stack,input_fall_output_fall,3.5,1,29.9,28.9,9.4,3.8,wfm_max_energy_vdd
and_high_stack,input_fall_output_fall,-0.3,-0.1,29.6,29.7,47.9,0.5,single_point_vss_bounce_min
and_high_stack,input_fall_output_fall,3.1,0.9,29.8,28.9,9.4,3.8,single_point_vss_bounce_min
and_high_stack,input_fall_output_fall,3.1,2.2,72.8,70.6,47.9,15.2,wfm_max_energy_vdd
and_high_stack,input_fall_output_fall,-0.9,-0.8,84.7,85.5,244.7,15.2,single_point_vss_bounce_min
and_high_stack,input_fall_output_fall,20.8,11,63.8,52.8,244.7,3.8,single_point_average_vdd
and_high_stack,input_fall_output_fall,14.2,6.1,49,42.9,244.7,0.5,wfm_max_energy_vdd
and_high_stack,input_fall_output_fall,1.7,0.5,30.2,29.7,47.9,0.5,wfm_wide_vss
and_high_stack,input_fall_output_fall,4.8,3.4,74,70.6,47.9,15.2,single_point_average_vss
and_high_stack,input_fall_output_fall,4.9,1,21.3,20.3,9.4,0.5,wfm_wide_vdd
and_high_stack,input_fall_output_fall,2,0.4,20.7,20.3,9.4,0.5,single_point_vss_bounce_max
and_high_stack,input_fall_output_fall,28.7,12.3,55.2,42.9,244.7,0.5,single_point_vdd_drop_max
and_high_stack,input_fall_output_fall,0,0,42.9,42.9,244.7,0.5,wfm_wide_vss
and_high_stack,input_fall_output_fall,3.1,0.9,29.8,28.9,9.4,3.8,wfm_wide_vss
and_high_stack,input_fall_output_fall,1.3,0.7,53.5,52.8,244.7,3.8,wfm_narrow_vss
and_high_stack,input_fall_output_fall,13.1,6.9,59.7,52.8,244.7,3.8,wfm_narrow_vdd
and_high_stack,input_fall_output_fall,-9.3,-4,38.9,42.9,244.7,0.5,single_point_average_vss
and_high_stack,input_rise_output_rise,0.6,0.9,140.6,139.7,244.7,15.2,single_point_average_vdd
and_high_stack,input_rise_output_rise,1.3,1.3,104.6,103.3,9.4,15.2,wfm_max_energy_vss
and_high_stack,input_rise_output_rise,7.8,3.4,47.2,43.8,47.9,0.5,wfm_min_compression
and_high_stack,input_rise_output_rise,12.3,10.6,96.8,86.2,244.7,3.8,single_point_average_vss
and_high_stack,input_rise_output_rise,0.9,1.2,140.9,139.7,244.7,15.2,single_point_vdd_drop_max
and_high_stack,input_rise_output_rise,2.2,2.5,114,111.5,47.9,15.2,wfm_max_energy_vss
and_high_stack,input_rise_output_rise,3.1,3.5,115,111.5,47.9,15.2,wfm_narrow_vdd
and_high_stack,input_rise_output_rise,3.1,3.5,115,111.5,47.9,15.2,wfm_wide_vdd
and_high_stack,input_rise_output_rise,9.4,4.1,47.9,43.8,47.9,0.5,single_point_vss_bounce_max
and_high_stack,input_rise_output_rise,6.1,3.6,62.5,58.9,47.9,3.8,single_point_vss_bounce_min
and_high_stack,input_rise_output_rise,3.4,3.5,106.8,103.3,9.4,15.2,single_point_average_vss
and_high_stack,input_rise_output_rise,2.5,1.1,44.9,43.8,47.9,0.5,wfm_max_energy_vdd
and_high_stack,input_rise_output_rise,5.5,2.4,46.2,43.8,47.9,0.5,wfm_max_energy_vss
and_high_stack,input_rise_output_rise,6,6.7,118.2,111.5,47.9,15.2,wfm_min_compression
and_high_stack,input_rise_output_rise,15.9,11.1,80.9,69.8,244.7,0.5,single_point_vss_bounce_max
and_high_stack,input_rise_output_rise,3.1,1.6,52.5,50.9,9.4,3.8,wfm_max_energy_vss
and_high_stack,input_rise_output_rise,9,12.6,152.3,139.7,244.7,15.2,single_point_vss_bounce_max
and_high_stack,input_rise_output_rise,2.9,3,106.3,103.3,9.4,15.2,single_point_vss_bounce_min
and_high_stack,input_rise_output_rise,3.9,4.4,115.9,111.5,47.9,15.2,single_point_vss_bounce_min
and_high_stack,input_rise_output_rise,6.6,6.8,110.1,103.3,9.4,15.2,single_point_average_vdd
and_high_stack,input_rise_output_rise,3.5,3.6,106.9,103.3,9.4,15.2,wfm_wide_vdd
and_high_stack,input_rise_output_rise,5.1,2.6,53.5,50.9,9.4,3.8,single_point_vss_bounce_max
and_high_stack,input_rise_output_rise,5.8,2.1,38.2,36.1,9.4,0.5,single_point_average_vss
and_high_stack,input_rise_output_rise,3.6,3.7,107,103.3,9.4,15.2,single_point_vss_bounce_max
and_high_stack,input_rise_output_rise,8,2.9,39,36.1,9.4,0.5,wfm_min_compression
and_high_stack,input_rise_output_rise,3.1,1.6,52.5,50.9,9.4,3.8,wfm_narrow_vss
and_high_stack,input_rise_output_rise,4.2,4.3,107.6,103.3,9.4,15.2,single_point_vdd_drop_min
and_high_stack,input_rise_output_rise,1.7,1,59.9,58.9,47.9,3.8,single_point_vdd_drop_min
and_high_stack,input_rise_output_rise,6.1,5.3,91.5,86.2,244.7,3.8,wfm_max_energy_vss
and_high_stack,input_rise_output_rise,8.4,11.7,151.4,139.7,244.7,15.2,single_point_average_vss
and_high_stack,input_rise_output_rise,2.5,0.9,37,36.1,9.4,0.5,single_point_average_vdd
and_high_stack,input_rise_output_rise,1.1,0.5,44.3,43.8,47.9,0.5,single_point_vdd_drop_max
and_high_stack,input_rise_output_rise,8.3,4.2,55.1,50.9,9.4,3.8,wfm_min_compression
and_high_stack,input_rise_output_rise,0.9,0.4,44.2,43.8,47.9,0.5,single_point_average_vdd
and_high_stack,input_rise_output_rise,10.6,9.1,95.3,86.2,244.7,3.8,single_point_vss_bounce_min
and_high_stack,input_rise_output_rise,3.2,1.9,60.8,58.9,47.9,3.8,wfm_max_energy_vdd
and_high_stack,input_rise_output_rise,0.3,0.4,140.1,139.7,244.7,15.2,single_point_vdd_drop_min
and_high_stack,input_rise_output_rise,13.2,11.4,97.6,86.2,244.7,3.8,single_point_vss_bounce_max
and_high_stack,input_rise_output_rise,5.5,2.4,46.2,43.8,47.9,0.5,wfm_narrow_vss
and_high_stack,input_rise_output_rise,3.6,2.1,61,58.9,47.9,3.8,wfm_narrow_vdd
and_high_stack,input_rise_output_rise,12.8,8.9,78.7,69.8,244.7,0.5,single_point_vss_bounce_min
and_high_stack,input_rise_output_rise,2.8,1,37.1,36.1,9.4,0.5,single_point_vdd_drop_max
and_high_stack,input_rise_output_rise,4.7,2.4,53.3,50.9,9.4,3.8,single_point_vdd_drop_max
and_high_stack,input_rise_output_rise,4.1,2.1,53,50.9,9.4,3.8,single_point_average_vdd
and_high_stack,input_rise_output_rise,5.1,7.1,146.8,139.7,244.7,15.2,wfm_min_compression
and_high_stack,input_rise_output_rise,4.4,1.6,37.7,36.1,9.4,0.5,wfm_max_energy_vss
and_high_stack,input_rise_output_rise,2.6,1.3,52.2,50.9,9.4,3.8,single_point_vdd_drop_min
and_high_stack,input_rise_output_rise,2.7,1.2,45,43.8,47.9,0.5,wfm_narrow_vdd
and_high_stack,input_rise_output_rise,2.5,2.8,114.3,111.5,47.9,15.2,wfm_wide_vss
and_high_stack,input_rise_output_rise,5,1.8,37.9,36.1,9.4,0.5,single_point_vss_bounce_min
and_high_stack,input_rise_output_rise,4.7,1.7,37.8,36.1,9.4,0.5,wfm_wide_vss
and_high_stack,input_rise_output_rise,3.7,2.2,61.1,58.9,47.9,3.8,wfm_narrow_vss
and_high_stack,input_rise_output_rise,2.3,1,44.8,43.8,47.9,0.5,wfm_wide_vdd
and_high_stack,input_rise_output_rise,2.7,1.6,60.5,58.9,47.9,3.8,single_point_average_vdd
and_high_stack,input_rise_output_rise,5,5.6,117.1,111.5,47.9,15.2,single_point_vss_bounce_max
and_high_stack,input_rise_output_rise,2.2,2.5,114,111.5,47.9,15.2,wfm_narrow_vss
and_high_stack,input_rise_output_rise,3,1.1,37.2,36.1,9.4,0.5,wfm_max_energy_vdd
and_high_stack,input_rise_output_rise,8.2,5.7,75.5,69.8,244.7,0.5,wfm_max_energy_vss
and_high_stack,input_rise_output_rise,1,0.7,70.5,69.8,244.7,0.5,wfm_narrow_vdd
and_high_stack,input_rise_output_rise,6.6,7.4,118.9,111.5,47.9,15.2,single_point_vdd_drop_max
and_high_stack,input_rise_output_rise,-4.7,-3.3,66.5,69.8,244.7,0.5,single_point_vdd_drop_min
and_high_stack,input_rise_output_rise,6.8,5.9,92.1,86.2,244.7,3.8,wfm_wide_vss
and_high_stack,input_rise_output_rise,0.3,0.2,70,69.8,244.7,0.5,wfm_wide_vdd
and_high_stack,input_rise_output_rise,8.2,5.7,75.5,69.8,244.7,0.5,wfm_narrow_vss
and_high_stack,input_rise_output_rise,7,4.1,63,58.9,47.9,3.8,single_point_average_vss
and_high_stack,input_rise_output_rise,3.2,4.5,144.2,139.7,244.7,15.2,wfm_narrow_vss
and_high_stack,input_rise_output_rise,-6.9,-4.8,65,69.8,244.7,0.5,single_point_average_vdd
and_high_stack,input_rise_output_rise,1.7,1.5,87.7,86.2,244.7,3.8,wfm_max_energy_vdd
and_high_stack,input_rise_output_rise,3,3.1,106.4,103.3,9.4,15.2,wfm_max_energy_vdd
and_high_stack,input_rise_output_rise,3.2,4.5,144.2,139.7,244.7,15.2,wfm_max_energy_vss
and_high_stack,input_rise_output_rise,8.7,3.8,47.6,43.8,47.9,0.5,single_point_average_vss
and_high_stack,input_rise_output_rise,2.1,2.9,142.6,139.7,244.7,15.2,wfm_max_energy_vdd
and_high_stack,input_rise_output_rise,-3,-2.6,83.6,86.2,244.7,3.8,single_point_vdd_drop_min
and_high_stack,input_rise_output_rise,5.1,5.3,108.6,103.3,9.4,15.2,wfm_min_compression
and_high_stack,input_rise_output_rise,7.8,4.6,63.5,58.9,47.9,3.8,wfm_min_compression
and_high_stack,input_rise_output_rise,3.3,1.2,37.3,36.1,9.4,0.5,wfm_narrow_vdd
and_high_stack,input_rise_output_rise,5.7,6.3,117.8,111.5,47.9,15.2,single_point_average_vdd
and_high_stack,input_rise_output_rise,2.2,3.1,142.8,139.7,244.7,15.2,wfm_wide_vdd
and_high_stack,input_rise_output_rise,1.5,1.6,104.9,103.3,9.4,15.2,wfm_wide_vss
and_high_stack,input_rise_output_rise,3.8,5.3,145,139.7,244.7,15.2,wfm_wide_vss
and_high_stack,input_rise_output_rise,3.4,3.5,106.8,103.3,9.4,15.2,wfm_narrow_vdd
and_high_stack,input_rise_output_rise,3.9,2.3,61.2,58.9,47.9,3.8,wfm_max_energy_vss
and_high_stack,input_rise_output_rise,3.9,2,52.9,50.9,9.4,3.8,wfm_wide_vdd
and_high_stack,input_rise_output_rise,0.5,0.2,44,43.8,47.9,0.5,single_point_vdd_drop_min
and_high_stack,input_rise_output_rise,3.2,1.9,60.8,58.9,47.9,3.8,wfm_wide_vdd
and_high_stack,input_rise_output_rise,7.6,7.8,111.1,103.3,9.4,15.2,single_point_vdd_drop_max
and_high_stack,input_rise_output_rise,3.2,1.9,60.8,58.9,47.9,3.8,single_point_vdd_drop_max
and_high_stack,input_rise_output_rise,4.2,2.5,61.4,58.9,47.9,3.8,wfm_wide_vss
and_high_stack,input_rise_output_rise,4.4,1.6,37.7,36.1,9.4,0.5,wfm_narrow_vss
and_high_stack,input_rise_output_rise,5.7,4,73.8,69.8,244.7,0.5,wfm_min_compression
and_high_stack,input_rise_output_rise,1.2,1,87.2,86.2,244.7,3.8,wfm_wide_vdd
and_high_stack,input_rise_output_rise,1.3,1.3,104.6,103.3,9.4,15.2,wfm_narrow_vss
and_high_stack,input_rise_output_rise,5.9,5.1,91.3,86.2,244.7,3.8,wfm_min_compression
and_high_stack,input_rise_output_rise,1.7,0.6,36.7,36.1,9.4,0.5,single_point_vdd_drop_min
and_high_stack,input_rise_output_rise,2.3,3.2,142.9,139.7,244.7,15.2,wfm_narrow_vdd
and_high_stack,input_rise_output_rise,3.6,4,115.5,111.5,47.9,15.2,single_point_vdd_drop_min
and_high_stack,input_rise_output_rise,4.7,2.4,53.3,50.9,9.4,3.8,single_point_average_vss
and_high_stack,input_rise_output_rise,-4.8,-4.1,82.1,86.2,244.7,3.8,single_point_vdd_drop_max
and_high_stack,input_rise_output_rise,7.5,4.4,63.3,58.9,47.9,3.8,single_point_vss_bounce_max
and_high_stack,input_rise_output_rise,4.1,2.1,53,50.9,9.4,3.8,wfm_narrow_vdd
and_high_stack,input_rise_output_rise,3.7,1.9,52.8,50.9,9.4,3.8,wfm_max_energy_vdd
and_high_stack,input_rise_output_rise,7.5,3.3,47.1,43.8,47.9,0.5,single_point_vss_bounce_min
and_high_stack,input_rise_output_rise,4.1,2.1,53,50.9,9.4,3.8,single_point_vss_bounce_min
and_high_stack,input_rise_output_rise,2.8,3.1,114.6,111.5,47.9,15.2,wfm_max_energy_vdd
and_high_stack,input_rise_output_rise,7.2,10.1,149.8,139.7,244.7,15.2,single_point_vss_bounce_min
and_high_stack,input_rise_output_rise,-4.3,-3.7,82.5,86.2,244.7,3.8,single_point_average_vdd
and_high_stack,input_rise_output_rise,1.1,0.8,70.6,69.8,244.7,0.5,wfm_max_energy_vdd
and_high_stack,input_rise_output_rise,5.9,2.6,46.4,43.8,47.9,0.5,wfm_wide_vss
and_high_stack,input_rise_output_rise,4.7,5.2,116.7,111.5,47.9,15.2,single_point_average_vss
and_high_stack,input_rise_output_rise,3,1.1,37.2,36.1,9.4,0.5,wfm_wide_vdd
and_high_stack,input_rise_output_rise,6.4,2.3,38.4,36.1,9.4,0.5,single_point_vss_bounce_max
and_high_stack,input_rise_output_rise,-7.9,-5.5,64.3,69.8,244.7,0.5,single_point_vdd_drop_max
and_high_stack,input_rise_output_rise,9,6.3,76.1,69.8,244.7,0.5,wfm_wide_vss
and_high_stack,input_rise_output_rise,3.3,1.7,52.6,50.9,9.4,3.8,wfm_wide_vss
and_high_stack,input_rise_output_rise,6,5.2,91.4,86.2,244.7,3.8,wfm_narrow_vss
and_high_stack,input_rise_output_rise,1.7,1.5,87.7,86.2,244.7,3.8,wfm_narrow_vdd
and_high_stack,input_rise_output_rise,14.8,10.3,80.1,69.8,244.7,0.5,single_point_average_vss
aoi_high_stack,input_fall_output_fall,8.7,19.7,246.6,226.9,244.7,15.2,single_point_average_vdd
aoi_high_stack,input_fall_output_fall,2.8,5.5,203.2,197.7,9.4,15.2,wfm_max_energy_vss
aoi_high_stack,input_fall_output_fall,8.7,4.7,58.6,53.9,47.9,0.5,wfm_min_compression
aoi_high_stack,input_fall_output_fall,-0.9,-0.9,101,101.9,244.7,3.8,single_point_average_vss
aoi_high_stack,input_fall_output_fall,10,22.8,249.7,226.9,244.7,15.2,single_point_vdd_drop_max
aoi_high_stack,input_fall_output_fall,2.7,5.6,212.9,207.3,47.9,15.2,wfm_max_energy_vss
aoi_high_stack,input_fall_output_fall,1.9,3.9,211.2,207.3,47.9,15.2,wfm_narrow_vdd
aoi_high_stack,input_fall_output_fall,2,4.1,211.4,207.3,47.9,15.2,wfm_wide_vdd
aoi_high_stack,input_fall_output_fall,3.2,1.7,55.6,53.9,47.9,0.5,single_point_vss_bounce_max
aoi_high_stack,input_fall_output_fall,4.7,3.9,86.3,82.4,47.9,3.8,single_point_vss_bounce_min
aoi_high_stack,input_fall_output_fall,10.8,21.4,219.1,197.7,9.4,15.2,single_point_average_vss
aoi_high_stack,input_fall_output_fall,4.5,2.4,56.3,53.9,47.9,0.5,wfm_max_energy_vdd
aoi_high_stack,input_fall_output_fall,3.5,1.9,55.8,53.9,47.9,0.5,wfm_max_energy_vss
aoi_high_stack,input_fall_output_fall,5.1,10.5,217.8,207.3,47.9,15.2,wfm_min_compression
aoi_high_stack,input_fall_output_fall,-5.6,-4.1,69.2,73.3,244.7,0.5,single_point_vss_bounce_max
aoi_high_stack,input_fall_output_fall,4,2.9,75.9,73,9.4,3.8,wfm_max_energy_vss
aoi_high_stack,input_fall_output_fall,7.3,16.5,243.4,226.9,244.7,15.2,single_point_vss_bounce_max
aoi_high_stack,input_fall_output_fall,9.3,18.3,216,197.7,9.4,15.2,single_point_vss_bounce_min
aoi_high_stack,input_fall_output_fall,8.5,17.7,225,207.3,47.9,15.2,single_point_vss_bounce_min
aoi_high_stack,input_fall_output_fall,5.8,11.5,209.2,197.7,9.4,15.2,single_point_average_vdd
aoi_high_stack,input_fall_output_fall,0.6,1.2,198.9,197.7,9.4,15.2,wfm_wide_vdd
aoi_high_stack,input_fall_output_fall,7.8,5.7,78.7,73,9.4,3.8,single_point_vss_bounce_max
aoi_high_stack,input_fall_output_fall,5.2,2.3,46.8,44.5,9.4,0.5,single_point_average_vss
aoi_high_stack,input_fall_output_fall,11.7,23.1,220.8,197.7,9.4,15.2,single_point_vss_bounce_max
aoi_high_stack,input_fall_output_fall,9.9,4.4,48.9,44.5,9.4,0.5,wfm_min_compression
aoi_high_stack,input_fall_output_fall,4,2.9,75.9,73,9.4,3.8,wfm_narrow_vss
aoi_high_stack,input_fall_output_fall,3.7,7.4,205.1,197.7,9.4,15.2,single_point_vdd_drop_min
aoi_high_stack,input_fall_output_fall,3.9,3.2,85.6,82.4,47.9,3.8,single_point_vdd_drop_min
aoi_high_stack,input_fall_output_fall,2.5,2.5,104.4,101.9,244.7,3.8,wfm_max_energy_vss
aoi_high_stack,input_fall_output_fall,6.7,15.2,242.1,226.9,244.7,15.2,single_point_average_vss
aoi_high_stack,input_fall_output_fall,4.7,2.1,46.6,44.5,9.4,0.5,single_point_average_vdd
aoi_high_stack,input_fall_output_fall,8,4.3,58.2,53.9,47.9,0.5,single_point_vdd_drop_max
aoi_high_stack,input_fall_output_fall,9.2,6.7,79.7,73,9.4,3.8,wfm_min_compression
